date,var1,var2
06/1996,-0.179221256,0.225669536
07/1996,-0.920332354,-4.574802797
08/1996,-0.941754054,1.881396984
09/1996,1.002868881,5.417261001
10/1996,0.756205566,2.613085798
11/1996,-1.208190367,7.337615381
12/1996,1.968158594,-2.150537634
01/1997,2.508658641,6.131706132
02/1997,3.975688268,0.592754656
03/1997,1.185381356,-4.26139956
04/1997,0.733409531,5.840553677
05/1997,-1.032383769,5.857688372
06/1997,0.03950493,4.345263356
07/1997,2.051059851,7.812323474
08/1997,2.742872637,-5.744584979
09/1997,-1.578969944,5.315352374
10/1997,-1.34557367,-3.447766236
11/1997,-0.810283151,4.458682294
12/1997,2.530893746,1.573163073
01/1998,1.775587229,1.015013963
02/1998,-0.504559967,7.04492594
03/1998,0.378370702,4.994568014
04/1998,0.005505391,0.909462219
05/1998,-0.753458813,-1.884382561
06/1998,1.301794505,3.943822079
07/1998,0.42162128,-1.161539547
08/1998,0.45943064,-14.55736301
09/1998,-4.420000745,6.215993233
10/1998,-3.628382321,8.025170837
11/1998,1.742693445,5.91260342
12/1998,-0.78612845,5.63753083
01/1999,-0.071831173,4.10094124
02/1999,2.576313764,-3.228251696
03/1999,2.54498523,3.879418249
04/1999,1.044132626,3.79439819
05/1999,0.462231499,-2.497041597
06/1999,1.609075054,5.393904013
07/1999,0.326159596,-3.15875399
08/1999,-2.477926842,-0.625413932
09/1999,-0.355739025,-2.855173772
10/1999,-1.751042287,6.253946722
11/1999,2.332642624,1.917926819
12/1999,1.275565301,5.772207304
01/2000,-0.209394092,-5.090352221
02/2000,2.799009629,-2.010814222
03/2000,1.192670795,9.671989579
04/2000,0.853360945,-3.079582004
05/2000,4.051237439,-2.191499762
06/2000,-3.253649334,2.39335492
07/2000,0.819985292,-1.63412622
08/2000,2.660543971,6.069903483
09/2000,2.846224249,-5.348294766
10/2000,1.505286154,-0.494949565
11/2000,0.56052405,-8.006856024
12/2000,-3.068584738,0.405338606
01/2001,-2.513499883,3.463659224
02/2001,1.486733039,-9.229068601
03/2001,1.703953138,-6.420471958
04/2001,1.721636335,7.681435454
05/2001,0.841786515,0.509019897
06/2001,2.030668995,-2.503543501
07/2001,-0.311623646,-1.07401297
08/2001,-3.36742118,-6.410838569
09/2001,-1.042691474,-8.172338962
10/2001,0.630767903,1.809902588
11/2001,1.630448904,7.517597992
12/2001,0.135142018,0.757382948
01/2002,1.252342938,-1.557382761
02/2002,1.288074906,-2.076623606
03/2002,-0.927719791,3.673886133
04/2002,-0.814994415,-6.141765224
05/2002,-2.980671208,-0.908145452
06/2002,-3.250347504,-7.246471878
07/2002,-3.606317954,-7.899495863
08/2002,1.434189639,0.488141989
09/2002,-0.159246042,-11.00243431
10/2002,0.31675361,8.646109312
11/2002,-1.717500211,5.705770121
12/2002,-1.295794297,-6.033258216
01/2003,-3.272083479,-2.741469846
02/2003,-1.053644563,-1.700362276
03/2003,-0.219030155,0.835760566
04/2003,-0.214531777,8.104411799
05/2003,-4.904617803,5.089866073
06/2003,-1.101202913,1.132224286
07/2003,2.22987293,1.622370446
08/2003,1.642589401,1.787319122
09/2003,-1.156474894,-1.194432595
10/2003,-4.126050709,5.496149482
11/2003,-0.126092863,0.71285131
12/2003,-3.731266027,5.076545077
01/2004,-2.438644601,1.727642276
02/2004,-0.139398748,1.220902991
03/2004,2.504594974,-1.635893584
04/2004,1.415151056,-1.679082942
05/2004,1.070789596,1.208344622
06/2004,-1.612561099,1.798907806
07/2004,-1.007645256,-3.429052277
08/2004,0.719276296,0.228733253
09/2004,-0.250996833,0.93639064
10/2004,-1.925539365,1.401424752
11/2004,-3.778883582,3.859493895
12/2004,-2.469859892,3.245812816
01/2005,1.669074249,-2.529044821
02/2005,0.923260078,1.890338365
03/2005,-1.095475797,-1.911764706
04/2005,1.730036363,-2.010858977
05/2005,1.516795238,2.99520249
06/2005,3.340204649,-0.01426773
07/2005,1.49854738,3.59682036
08/2005,-1.924256232,-1.122202596
09/2005,-0.079984339,0.694894004
10/2005,2.010056933,-1.774074104
11/2005,1.955393796,3.518612108
12/2005,-0.553297081,-0.09523962
01/2006,-2.005141126,2.546683864
02/2006,1.276345106,0.045309668
03/2006,-0.334814951,1.106460731
04/2006,-1.581081357,1.218692801
05/2006,-4.062410919,-3.091690129
06/2006,0.957727572,0.008660804
07/2006,0.097294017,0.508581326
08/2006,-0.885381555,2.127426253
09/2006,0.525034208,2.456627449
10/2006,0.995774876,3.15080286
11/2006,-1.683811735,1.646660958
12/2006,-1.91104926,1.261575148
01/2007,1.704930804,1.405908482
02/2007,-0.34855337,-2.184614529
03/2007,-1.090878937,0.997995479
04/2007,-1.549991024,4.329068311
05/2007,-0.175761971,3.25492286
06/2007,0.518220642,-1.781630973
07/2007,-2.007671913,-3.198190707
08/2007,0.142653744,1.286359232
09/2007,-1.764062669,3.579400132
10/2007,-2.08307798,1.482233503
11/2007,-2.907472543,-4.404342382
12/2007,1.437244942,-0.862848887
01/2008,-0.895800153,-6.11634749
02/2008,-0.352680098,-3.476116209
03/2008,-4.252935537,-0.595958305
04/2008,-0.573973914,4.754668481
05/2008,1.021227071,1.067415325
06/2008,0.493507063,-8.596238164
07/2008,-0.966550022,-0.9859375
08/2008,4.655328482,1.219050324
09/2008,3.017517222,-9.079145327
10/2008,5.961379106,-16.94245344
11/2008,4.321295311,-7.484903226
12/2008,-3.556192244,0.782156565
01/2009,0.41389028,-8.565734846
02/2009,3.370320047,-10.99312249
03/2009,0.083000691,8.540450829
04/2009,-1.483436708,9.392507551
05/2009,-3.489874052,5.308142666
06/2009,-2.674863557,0.019583524
07/2009,-0.570201714,7.414175695
08/2009,-1.537762838,3.356017337
09/2009,-1.740121105,3.572338383
10/2009,-1.37394672,-1.976198585
11/2009,-0.849261401,5.736399695
12/2009,1.691189024,1.777059774
01/2010,1.469162148,-3.69742624
02/2010,3.111295191,2.851369346
03/2010,0.570522348,5.879636755
04/2010,0.707882855,1.475932719
05/2010,5.008882504,-8.19759162
06/2010,1.555506161,-5.38823767
07/2010,-3.738146032,6.877783276
08/2010,-1.506019177,-4.744916485
09/2010,-0.955688918,8.755110404
10/2010,-4.638552966,3.685594111
11/2010,0.936977375,-0.229028278
12/2010,2.422802769,6.5300072
01/2011,-1.145793247,2.264559015
02/2011,-1.832257036,3.195658259
03/2011,-1.862309637,-0.104730188
04/2011,-1.996683454,2.849535763
05/2011,0.081079708,-1.350092768
06/2011,-0.261279988,-1.825750818
07/2011,0.04237098,-2.147443664
08/2011,-0.636139283,-5.67910979
09/2011,3.424227792,-7.176201298
10/2011,0.691156395,10.77230383
11/2011,0.75484176,-0.505864518
12/2011,2.113384949,0.853275165
01/2012,1.0344798,4.358301527
02/2012,-1.767730954,4.058944994
03/2012,0.725962893,3.133237655
04/2012,-0.082845704,-0.749749728
05/2012,1.679655338,-6.265067136
06/2012,1.828127447,3.955492128
07/2012,0.905993349,1.259763904
08/2012,-0.937358385,1.976336166
09/2012,-2.752263478,2.423609038
10/2012,-0.262424662,-1.978940354
11/2012,1.155668848,0.284670292
12/2012,-1.093571818,0.706831053
01/2013,0.156454497,5.042806358
02/2013,0.688712205,1.106060303
03/2013,2.669646821,3.59877994
04/2013,-0.045568202,1.808576399
05/2013,0.693371078,2.076278348
06/2013,-1.517066663,-1.499932546
07/2013,1.193048356,4.946211121
08/2013,-1.675469445,-3.129801332
09/2013,-0.221132914,2.974947488
10/2013,-1.741085231,4.459575986
11/2013,1.148707995,2.804946087
12/2013,-0.534232742,2.35628333
01/2014,0.530867382,-3.558289511
02/2014,-0.336126177,4.311703757
03/2014,-0.825162879,0.693215736
04/2014,0.04313273,0.620079686
05/2014,0.02668288,2.103028212
06/2014,0.679044007,1.905831345
07/2014,0.004364206,-1.507986308
08/2014,1.698418688,3.765532173
09/2014,2.945747774,-1.551385915
10/2014,1.641847677,2.320145618
11/2014,2.441642055,2.45335844
12/2014,1.492437072,-0.418851206
01/2015,4.250741136,-3.104084705
02/2015,1.716699351,5.489250573
03/2015,3.503381003,-1.739605607
04/2015,0.022004708,0.852076271
05/2015,-2.599645419,1.049143855
06/2015,0.133455292,-2.101177286
07/2015,1.624040039,1.974203993
08/2015,-0.442871306,-6.258080462
